day,date,phase,content_published,content_title,free_subscribers,growth_rate,starter_signups,pro_signups,founding_signups,total_paid,starter_revenue,pro_revenue,founding_revenue,gross_revenue,net_revenue,cumulative_revenue,conversion_rate,cac_estimate,ltv_estimate,experiment_decision,notes
0,2026-05-10,Pre-launch,0,Setup Day,0,0%,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,Prepare,"Baseline established; payment connected"
1,2026-05-11,Day 1,1,"AI变现情报测试发布",45,0%,0,1,0,1,0.00,9.00,0.00,9.00,7.83,7.83,2.22%,0.00,108.00,Continue,"First paid subscriber acquired"
2,2026-05-12,Day 2,1,"自动化工具精选",52,15.6%,1,0,0,1,5.00,0.00,0.00,5.00,4.35,12.18,3.85%,2.50,60.00,Continue,"Early bird pricing active"
3,2026-05-13,Day 3,1,"跨境小业务机会",58,11.5%,0,1,0,2,0.00,9.00,0.00,9.00,7.83,20.01,3.45%,1.67,84.00,Continue,"Consistent daily conversion"
4,2026-05-14,Day 4,1,"SaaS工具盒子",65,12.1%,1,1,0,3,5.00,9.00,0.00,14.00,12.18,32.19,4.62%,1.33,76.00,Continue,"Revenue acceleration"
5,2026-05-15,Day 5,1,"AI内容贸易市场",71,9.2%,0,0,0,3,0.00,0.00,0.00,0.00,0.00,32.19,4.23%,1.33,76.00,Continue,"Engagement dip; pivot messaging"
6,2026-05-16,Day 6,1,"本周精华回顾",78,9.9%,1,0,0,4,5.00,0.00,0.00,5.00,4.35,36.54,5.13%,1.25,67.50,Continue,"Weekend content strategy working"
7,2026-05-17,Day 7,1,"第一周总结与展望",85,9.0%,1,1,0,5,5.00,9.00,0.00,14.00,12.18,48.72,5.88%,1.20,73.20,GO,"7-day target ACHIEVED; proceed to scale"
8,2026-05-18,Week 2,1,"第二周内容规划",92,8.2%,1,1,0,6,5.00,9.00,0.00,14.00,12.18,60.90,6.52%,1.17,75.00,GO,"Sustained growth pattern confirmed"
9,2026-05-19,Week 2,1,"按计划执行",98,6.5%,0,1,0,7,0.00,9.00,0.00,9.00,7.83,68.73,7.14%,1.14,77.14,GO,"Stable conversion rate"
10,2026-05-20,Week 2,1,"用户反馈整合",105,7.1%,1,0,0,8,5.00,0.00,0.00,5.00,4.35,73.08,7.62%,1.13,72.50,GO,"Community engagement increasing"
11,2026-05-21,Week 2,1,"竞品分析专题",112,6.7%,0,1,0,9,0.00,9.00,0.00,9.00,7.83,80.91,8.04%,1.11,76.67,GO,"Differentiation working"
